,Albania,Armenia,Artist,Australia,Austria,Azerbaijan,Belarus,Belgium,BosniaHerzegovina,Bulgaria,Country,Croatia,Cyprus,CzechRepublic,Denmark,Draw,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Jury Score,Language,Language(s),Latvia,Lithuania,Macedonia,Malta,Moldova,Montenegro,Netherlands,Norway,Place,Points,Poland,Portugal,Romania,Russia,SanMarino,Serbia,Slovenia,Song,Spain,Sweden,Switzerland,TotalScore,Ukraine,UnitedKingdom,Year
0,0,0,Maraaya,0,0,3,0,0,,,Slovenia,,0,0,0,01,0,1,0,0,0,0,0,2,0,6,0,,English,,3,4,8,0,0,4,0,1,14,39,1,0,0,0,0,5,0,"""Here for You""",0,1,0,39,,0,2015
1,0,3,Lisa Angell,0,0,0,0,0,,,France,,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,,French,,0,0,0,0,0,0,0,0,25,4,0,0,0,0,1,0,0,"""N'oubliez pas""",0,0,0,4,,0,2015
2,5,0,Nadav Guedj,2,2,7,2,0,,,Israel,,6,0,0,03,0,3,0,1,5,0,0,5,0,0,8,,English,,1,0,0,5,0,3,5,4,9,97,4,7,1,0,2,6,0,"""Golden Boy""",1,4,3,97,,5,2015
3,4,0,Elina Born & Stig Rästa,3,6,4,7,2,,,Estonia,,2,0,6,04,0,10,0,2,2,0,7,1,0,3,2,,English,,6,8,2,3,0,1,4,3,7,106,2,1,0,7,0,2,0,"""Goodbye to Yesterday""",3,3,0,106,,0,2015
4,0,0,Electro Velvet,0,0,0,0,0,,,United Kingdom,,0,0,0,05,0,0,0,0,0,0,0,0,1,0,0,,English,,0,0,0,1,0,0,0,0,24,5,0,0,0,0,3,0,0,"""Still in Love with You""",0,0,0,5,,0,2015
5,0,0,Genealogy,0,0,0,4,3,,,Armenia,,0,2,0,06,0,0,3,12,0,1,0,0,0,0,0,,English,,0,0,3,0,0,0,0,0,16,34,0,0,0,6,0,0,0,"""Face the Shadow""",0,0,0,34,,0,2015
6,0,0,Monika Linkytė & Vaidas Baumila,0,0,0,0,0,,,Lithuania,,0,0,1,07,2,0,0,3,0,0,0,0,7,0,0,,English,,7,0,0,0,0,0,0,6,18,30,0,0,0,0,0,0,0,"""This Time""",0,0,0,30,,4,2015
7,2,0,Bojana Stamenov,5,3,0,0,0,,,Serbia,,0,3,0,08,0,0,0,0,0,0,0,0,0,2,3,,English,,0,0,10,0,0,12,1,0,10,53,0,0,0,0,0,0,6,"""Beauty Never Lies""",0,0,5,53,,1,2015
8,0,0,Mørland & Debrah Scarlett,4,4,0,0,0,,,Norway,,0,0,3,09,4,4,0,0,4,0,4,10,4,0,5,,English,,2,5,0,2,0,0,3,0,8,102,3,6,6,0,6,0,4,"""A Monster Like Me""",2,7,10,102,,0,2015
9,7,7,Måns Zelmerlöw,12,7,6,10,12,,,Sweden,,10,10,12,10,10,12,8,7,10,4,10,12,10,10,12,,English,,12,10,5,10,8,5,10,12,1,365,12,8,8,8,7,8,12,"""Heroes""",8,0,12,365,,12,2015
10,0,0,John Karayiannis,0,0,0,0,0,,,Cyprus,,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,,English,,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,1,"""One Thing I Should Have Done""",0,0,0,11,,0,2015
